SessionID,Threshold 
2,500
3,500
4,500
5,500
6,500
7,500
10,500
11,500
12,500
13,500
14,500
15,500
17,500
18,500
19,500
20,500
21,250
22,250
23,250
25,250
26,250
27,250
28,250
29,250
30,250
31,250
32,250
33,250
35,250
38,250
39,250
41,250
42,250
45,250
46,250
48,250
