X1,SessionID,Series,Target_Competitor,Role,Soundfile,Modifier,Transcription,SpeechFluency,Adjective,RelevantMod,Onset,Comments,ShiftDir,Fluency,Misspec
64,2,32,door_handle / door_knob,Test,T_32.wav,0,uuuhh door handle,FP,NO,NO,2852,CHECK - PR??,Contrast_Singleton,Low,FALSE
65,2,34,cheese_block / cheese_blue,Test,T_34.wav,1,uuuhh swiss cheese??,FP,PR,PR,2619,check,Contrast_Singleton,Low,TRUE
66,2,37,clock_wall / clock_digital,Test,T_37.wav,0,uhh clock {WO?} thee umm analogue clock,RE,AO,,,onset of anologue,Singleton_Contrast,High,TRUE
67,2,39,pen_ballpoint / pen_nolid,Test,T_39.wav,0,biro uh  {WO?} uhh without the lid on no with the lid on,RE,AO,,,onset of 2nd lid,Singleton_Contrast,High,TRUE
68,2,40,apple_red / apple_green,Test,T_40.wav,0,apple..uh red apple,RE,AS,,,onset of red,Singleton_Contrast,High,TRUE
69,2,41,pipe_smoke / pipe_kitchen,Test,T_41.wav,0,uh pipe uh umm sssmo..smoking tobacco pipe,RE,AS,,,onset of smoking taken,Singleton_Contrast,High,TRUE
70,2,42,bat_animal / bat_baseball,Test,T_42.wav,0,umm uh a bat like a flying animal bat,RE,AS,,,onset of flying taken,Singleton_Contrast,High,TRUE
71,2,43,horse_animal / horse_rocking,Test,T_43.wav,0,horse {WO?} oooh real horse,RE,AO,,,real onset taken,Singleton_Contrast,High,TRUE
72,2,44,tshirt_round / tshirt_vneck,Test,T_44.wav,0,yellow tshirt…yellow male's tshirt,RE,AS,,,onset of 2nd yellow taken,Singleton_Contrast,High,TRUE
73,2,46,eye_pupil / I_letter,Test,T_46.wav,0,eye {WO?} oh the uh human eye,RE,AO,,,human onset taken,Singleton_Contrast,High,TRUE
74,2,47,potatoes_skin / potatoes_peeled,Test,T_47.wav,0,pile of potatoes {WO?} oh yeah! Pile of unpeeled potatoes,RE,AO,,,onset of 2nd pile taken,Singleton_Contrast,High,TRUE
75,3,2,bin_lid / bin_pedal,Test,T_02.wav,1,square based black bin,FL,PR,PR,1008,,Contrast_Singleton,High,TRUE
76,3,4,coffee_cup / coffee_saucer,Test,T_04.wav,1,cup of coffee no coaster,FL,PO,PO,1056,,Contrast_Singleton,High,TRUE
77,3,5,mirror_wall / mirror_hand,Test,T_05.wav,1,large black circular mirror,FL,PR,PR,1014,,Contrast_Singleton,High,TRUE
78,3,6,chair_wooden / chair_baby,Test,T_06.wav,1,uh wooden chair,FP,PR,PR,1627,,Contrast_Singleton,High,TRUE
79,3,7,lighter_flame / lighter_noflame,Test,T_07.wav,1,a burning lighter,FL,PR,PR,1152,,Contrast_Singleton,High,TRUE
80,3,8,egg_shell / egg_yolk,Test,T_08.wav,1,whole egg,FL,PR,PR,635,CHECK THIS!!,Contrast_Singleton,High,TRUE
81,3,9,umbrella_open / umbrella_closed,Test,T_09.wav,1,uhh red open umbrella,FP,PR,PR,2754,,Contrast_Singleton,High,TRUE
82,3,10,candle_unused / candle_melted,Test,T_10.wav,1,unburnt candle,FL,PR,PR,1561,,Contrast_Singleton,High,TRUE
83,3,11,knife_kitchen / knife_swiss,Test,T_11.wav,1,large black handled knife,FL,PR,PR,952,,Contrast_Singleton,High,TRUE
84,3,12,car_family / car_sports,Test,T_12.wav,1,small silver hatchback,FL,PR,PR,910,,Contrast_Singleton,High,TRUE
85,3,14,gun_real / gun_toy,Test,T_14.wav,0,gun {WO?} oh uh silver gun not black gun,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
86,3,15,saddle_horse / saddle_bike,Test,T_15.wav,0,saddle…a horse saddle,RE,AS,,NA,,Singleton_Contrast,Low,TRUE
87,3,17,headphones_large / headphones_small,Test,T_17.wav,1,um black headphones not earphones,FP,PR,PO,3725,,Singleton_Contrast,Low,FALSE
88,3,18,battery_AA / battery_car,Test,T_18.wav,0,eh battery {WO?} oh um AA battery,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
89,3,20,money_notes / money_coins,Test,T_20.wav,0,"cash,money {uh WO?} oh the notes!",RE,AO,,NA,,Singleton_Contrast,Low,TRUE
90,3,22,camera_corder / camera_cctv,Test,T_22.wav,1,uh ca…ff eh a carrier camera not security camera (think modifier used just not sure how to say it),FP,PR,PR,4249,check,Singleton_Contrast,Low,FALSE
91,3,23,guitar_acoustic / guitar_electric,Test,T_23.wav,0,"ah guitar {WO} oh uh wooden, wooden guitar",RE,AO,,NA,,Singleton_Contrast,Low,TRUE
92,3,24,glove_wooly / glove_boxing,Test,T_24.wav,0,"red glove {WO?} h uh red winter glove, not boxing glove, winter glove",RE,AO,,NA,,Singleton_Contrast,Low,TRUE
93,3,25,teapot_white / teapot_cosy,Test,T_25.wav,1,a bare teapot,FL,PR,PR,1250,,Contrast_Singleton,Low,TRUE
94,3,28,fan_hand / fan_electric,Test,T_28.wav,1,handheld fan,FL,PR,PR,1632,,Contrast_Singleton,Low,TRUE
95,3,29,orange_skin / orange_slice,Test,T_29.wav,1,whole orange,FL,PR,PR,1517,,Contrast_Singleton,Low,TRUE
96,3,30,spade_garden / spade_beach,Test,T_30.wav,1,metal shovel,FL,PR,PR,1594,,Contrast_Singleton,Low,TRUE
97,3,31,key_gold / key_car,Test,T_31.wav,1,golden key,FL,PR,PR,864,,Contrast_Singleton,Low,TRUE
98,3,32,door_handle / door_knob,Test,T_32.wav,1,long door handle,FL,PR,PR,1173,,Contrast_Singleton,Low,TRUE
99,3,33,bell_hand / bell_bike,Test,T_33.wav,1,hand held bell,FL,PR,PR,840,,Contrast_Singleton,Low,TRUE
100,3,34,cheese_block / cheese_blue,Test,T_34.wav,1,cheese with no mould,FL,PO,PR,1155,,Contrast_Singleton,Low,TRUE
101,3,39,pen_ballpoint / pen_nolid,Test,T_39.wav,0,blue bic pen {WO?} oh eh cap on,RE,AO,,NA,,Singleton_Contrast,High,TRUE
102,3,43,horse_animal / horse_rocking,Test,T_43.wav,0,brown horse,RE,AS,,NA,,Singleton_Contrast,High,TRUE
103,3,44,tshirt_round / tshirt_vneck,Test,T_44.wav,0,yellow tshirt,RE,AS,,NA,,Singleton_Contrast,High,TRUE
104,3,47,potatoes_skin / potatoes_peeled,Test,T_47.wav,1,em red potatoes.. Em bunch of red potatoes {confusion with matcher} they're red unpeeled,RE,AS,,NA,,Singleton_Contrast,High,FALSE
105,5,2,bin_lid / bin_pedal,Test,T_02.wav,0,the bin…the um eh plastic one..not the one with the pedal,RE,AS,,NA,,Singleton_Contrast,High,TRUE
106,5,4,coffee_cup / coffee_saucer,Test,T_04.wav,1,the um coffee cup not on the saucer,FP,PO,PO,2061,onset of coffee taken,Singleton_Contrast,High,FALSE
107,5,5,mirror_wall / mirror_hand,Test,T_05.wav,0,the mirror..the mirror with the black out bit,RE,AS,,NA,,Singleton_Contrast,High,TRUE
108,5,6,chair_wooden / chair_baby,Test,T_06.wav,0,the chair the uh wooden chair,RE,AS,,NA,,Singleton_Contrast,High,TRUE
109,5,7,lighter_flame / lighter_noflame,Test,T_07.wav,0,the lighter {WO?} the one that's lit,RE,AO,,NA,,Singleton_Contrast,High,TRUE
110,5,8,egg_shell / egg_yolk,Test,T_08.wav,0,the egg {WO?} the um whole egg not the front (?),RE,AO,,NA,,Singleton_Contrast,High,TRUE
111,5,9,umbrella_open / umbrella_closed,Test,T_09.wav,0,the red umbrella the um one that's up,RE,AS,,NA,,Singleton_Contrast,High,TRUE
112,5,10,candle_unused / candle_melted,Test,T_10.wav,0,the candle eh the non lit one,RE,AS,,NA,,Singleton_Contrast,High,TRUE
113,5,11,knife_kitchen / knife_swiss,Test,T_11.wav,0,the knife..the big one..the kitchen one,RE,AS,,NA,,Singleton_Contrast,High,TRUE
114,5,12,car_family / car_sports,Test,T_12.wav,0,the car..the um like not as good one,RE,AS,,NA,,Singleton_Contrast,High,TRUE
115,5,14,gun_real / gun_toy,Test,T_14.wav,1,the real gun,FL,PR,PR,1895,,Contrast_Singleton,High,TRUE
116,5,15,saddle_horse / saddle_bike,Test,T_15.wav,1,the horse saddle ,FL,PR,PR,1304,,Contrast_Singleton,High,TRUE
117,5,16,pad_unlocked / pad_locked,Test,T_16.wav,0,the padlock,FL,NO,NO,1352,,Contrast_Singleton,High,FALSE
118,5,17,headphones_large / headphones_small,Test,T_17.wav,1,the over the head headphones,FL,PR,PR,1919,starts at over,Contrast_Singleton,High,TRUE
119,5,18,battery_AA / battery_car,Test,T_18.wav,1,small battery,FL,PR,PR,1121,,Contrast_Singleton,High,TRUE
120,5,19,wine_glass / wine_red,Test,T_19.wav,1,the empty wine glass,FL,PR,PR,1226,,Contrast_Singleton,High,TRUE
121,5,20,money_notes / money_coins,Test,T_20.wav,1,the notes,FL,NO,NO,1373,,Contrast_Singleton,High,TRUE
122,5,21,boot_foot / boot_car,Test,T_21.wav,1,the black boot,FL,PR ,PR,920,,Contrast_Singleton,High,TRUE
123,5,22,camera_corder / camera_cctv,Test,T_22.wav,1,the big black camera,FL,PR,PR,1535,,Contrast_Singleton,High,TRUE
124,5,23,guitar_acoustic / guitar_electric,Test,T_23.wav,1, wooden guitar,FL,PR,PR,934,,Contrast_Singleton,High,TRUE
125,5,24,glove_wooly / glove_boxing,Test,T_24.wav,1,the red glove with the fingers,FL,PO,PO,1067,,Contrast_Singleton,High,TRUE
126,5,25,teapot_white / teapot_cosy,Test,T_25.wav,0,the teapot..the one without the cosy on,RE,AS,,NA,,Singleton_Contrast,Low,TRUE
127,5,27,saw_hand / saw_electric,Test,T_27.wav,0,the saw {WO?} the one for like..the not electrical one,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
128,5,29,orange_skin / orange_slice,Test,T_29.wav,0,the orange {WO?} the full orange,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
129,5,30,spade_garden / spade_beach,Test,T_30.wav,0,the shovel {WO?} the em metal one,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
130,5,31,key_gold / key_car,Test,T_31.wav,0,the key {W..} the um metal eh the browny rusty one,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
131,5,32,door_handle / door_knob,Test,T_32.wav,0,the door handle {WO?} the like long one,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
132,5,33,bell_hand / bell_bike,Test,T_33.wav,1,the bell..as in the hand held ringing one,LE/UP,PO,PO,2455,close call as to whether this is acorrection or addition - onset of bell noted,Singleton_Contrast,Low,FALSE
133,5,34,cheese_block / cheese_blue,Test,T_34.wav,0,block of cheese {WO?} the em one with the holes in,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
134,5,37,clock_wall / clock_digital,Test,T_37.wav,0,the clock,UP,NO,NO,2399,difficult to find - check?,Contrast_Singleton,Low,FALSE
135,5,38,hat_sun / hat_cowboy,Test,T_38.wav,0,the hat,FL,NO,NO,1217,difficult to find - check?,Contrast_Singleton,Low,FALSE
136,5,39,pen_ballpoint / pen_nolid,Test,T_39.wav,0,the pen with..the pen,RE,DE,,NA,check with cailtyn coding,Contrast_Singleton,Low,FALSE
137,5,40,apple_red / apple_green,Test,T_40.wav,1,eh the red apple,FP,PR,PR,2008,,Contrast_Singleton,Low,TRUE
138,5,41,pipe_smoke / pipe_kitchen,Test,T_41.wav,1,the smoking pipe,FL,PR,PR,1086,,Contrast_Singleton,Low,TRUE
139,5,42,bat_animal / bat_baseball,Test,T_42.wav,0,the bat,FL,NO,NO,1449,,Contrast_Singleton,Low,FALSE
140,5,43,horse_animal / horse_rocking,Test,T_43.wav,1,the real horse,FL,PR,PR,1444,very difficult to find this onset,Contrast_Singleton,Low,TRUE
141,5,44,tshirt_round / tshirt_vneck,Test,T_44.wav,1,the em orange mans tshirt,FP,PR,PR,2125,,Contrast_Singleton,Low,TRUE
142,5,46,eye_pupil / I_letter,Test,T_46.wav,1,the eye as in part of the face,FL,PO,PO,1247,onset of eye noted,Contrast_Singleton,Low,TRUE
143,5,47,potatoes_skin / potatoes_peeled,Test,T_47.wav,0,the... pile of potatoes,UP,NO,NO,2713,,Contrast_Singleton,Low,FALSE
144,6,2,bin_lid / bin_pedal,Test,T_02.wav,0,eh bin,FP,NO,NO,2217,,Contrast_Singleton,High,FALSE
145,6,4,coffee_cup / coffee_saucer,Test,T_04.wav,0,eh cup of tea,FP,NO,NO,2391,,Contrast_Singleton,High,FALSE
146,6,5,mirror_wall / mirror_hand,Test,T_05.wav,0,eh mirror,FP,NO,NO,1722,,Contrast_Singleton,High,FALSE
147,6,6,chair_wooden / chair_baby,Test,T_06.wav,0,ehh chair,FP,NO,NO,2415,,Contrast_Singleton,High,FALSE
148,6,7,lighter_flame / lighter_noflame,Test,T_07.wav,0,eh lighter,FP,NO,NO,3132,,Contrast_Singleton,High,FALSE
149,6,8,egg_shell / egg_yolk,Test,T_08.wav,1,egg in it's shell,FL,PO,PO,1165,,Contrast_Singleton,High,TRUE
150,6,9,umbrella_open / umbrella_closed,Test,T_09.wav,0,umbrella,FL,NO,NO,2251,,Contrast_Singleton,High,FALSE
151,6,10,candle_unused / candle_melted,Test,T_10.wav,1,unlit candle,FL,PR,PR,2146,,Contrast_Singleton,High,TRUE
152,6,11,knife_kitchen / knife_swiss,Test,T_11.wav,1,kitchen knife,FL,PR,PR,1429,,Contrast_Singleton,High,TRUE
153,6,12,car_family / car_sports,Test,T_12.wav,0,eh car,FP,NO,NO,2366,,Contrast_Singleton,High,FALSE
154,6,14,gun_real / gun_toy,Test,T_14.wav,1,eh real hand gun,FP,PR,PR,2338,,Singleton_Contrast,Low,FALSE
155,6,15,saddle_horse / saddle_bike,Test,T_15.wav,1,eh horse saddle,FP,PR,PR,2320,,Singleton_Contrast,Low,FALSE
156,6,16,pad_unlocked / pad_locked,Test,T_16.wav,1,eh open lock,FP,PR,PR,2118,,Singleton_Contrast,Low,FALSE
157,6,17,headphones_large / headphones_small,Test,T_17.wav,1,em ear muffs,FP,PR,PR,4566,,Singleton_Contrast,Low,FALSE
158,6,18,battery_AA / battery_car,Test,T_18.wav,0,"eh battery {pause} em AA battery, double A battery",RE,AS,,NA,,Singleton_Contrast,Low,TRUE
159,6,19,wine_glass / wine_red,Test,T_19.wav,1,em empty wine glass,FP,PR,PR,2011,very difficult the 'eehh' and 'empty' run together,Singleton_Contrast,Low,FALSE
160,6,20,money_notes / money_coins,Test,T_20.wav,1,em paper money,FP,PR,PR,2524,,Singleton_Contrast,Low,FALSE
161,6,21,boot_foot / boot_car,Test,T_21.wav,1,eh leather boot,FP,PR,PR,3608,,Singleton_Contrast,Low,FALSE
162,6,22,camera_corder / camera_cctv,Test,T_22.wav,1,em it’s a (noise 'dodododo') film camera,FP,PR,PR,7229,,Singleton_Contrast,Low,FALSE
163,6,23,guitar_acoustic / guitar_electric,Test,T_23.wav,1,eh acoustic guitar,FP,PR,PR,1823,,Singleton_Contrast,Low,FALSE
164,6,24,glove_wooly / glove_boxing,Test,T_24.wav,0,eh red glove {WO?} eh sort of wooly glove,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
165,6,25,teapot_white / teapot_cosy,Test,T_25.wav,0,teapot,FL,NO,NO,1429,,Contrast_Singleton,Low,FALSE
166,6,27,saw_hand / saw_electric,Test,T_27.wav,0,saw,FL,NO,NO,1534,,Contrast_Singleton,Low,FALSE
167,6,28,fan_hand / fan_electric,Test,T_28.wav,0,eh fan,FP,NO,NO,2520,,Contrast_Singleton,Low,FALSE
168,6,29,orange_skin / orange_slice,Test,T_29.wav,0,eh orange,FP,NO,NO,2229,,Contrast_Singleton,Low,FALSE
169,6,30,spade_garden / spade_beach,Test,T_30.wav,0,eh spade,FP,NO,NO,2190,,Contrast_Singleton,Low,FALSE
170,6,31,key_gold / key_car,Test,T_31.wav,0,eh key,FP,NO,NO,2164,,Contrast_Singleton,Low,FALSE
171,6,32,door_handle / door_knob,Test,T_32.wav,0,eh door handle ,FP,NO,NO,2173,,Contrast_Singleton,Low,FALSE
172,6,33,bell_hand / bell_bike,Test,T_33.wav,0,eh bell,FP,NO,NO,2472,,Contrast_Singleton,Low,FALSE
173,6,34,cheese_block / cheese_blue,Test,T_34.wav,0,eh cheese,FP,NO,NO,3141,,Contrast_Singleton,Low,FALSE
174,6,37,clock_wall / clock_digital,Test,T_37.wav,1,eh anologue clock,FP,PR,PR,2310,,Singleton_Contrast,High,FALSE
175,6,38,hat_sun / hat_cowboy,Test,T_38.wav,1,eh woman's hat,FP,PR,PR,2348,,Singleton_Contrast,High,FALSE
176,6,39,pen_ballpoint / pen_nolid,Test,T_39.wav,1,eh pen with it's lid on,FP,PO,PO,3184,,Singleton_Contrast,High,FALSE
177,6,40,apple_red / apple_green,Test,T_40.wav,1,eh red apple,FP,PR,PR,2219,hard to find onset,Singleton_Contrast,High,FALSE
178,6,42,bat_animal / bat_baseball,Test,T_42.wav,1,eh sort of nocturnal bat,FP,PR,PR,2604,nocturnal onset noted,Singleton_Contrast,High,FALSE
179,6,43,horse_animal / horse_rocking,Test,T_43.wav,1,(noise) real horse,FP,PR,PR,3413,,Singleton_Contrast,High,FALSE
180,6,44,tshirt_round / tshirt_vneck,Test,T_44.wav,1,eh male yellow tshirt,FP,PR,PR,2397,hard to find onset,Singleton_Contrast,High,FALSE
181,6,46,eye_pupil / I_letter,Test,T_46.wav,1,eh human eye,FP,PR,PR,1957,,Singleton_Contrast,High,FALSE
182,6,47,potatoes_skin / potatoes_peeled,Test,T_47.wav,0,potatoes {pause} eh unpeeled potatoes,RE,AS,,NA,,Singleton_Contrast,High,TRUE
183,7,2,bin_lid / bin_pedal,Test,T_02.wav,1,the kitchen bin again with the foot pad,FL,PR/PO,OTHER,2081,Used PR first then PO,Contrast_Singleton,Low,TRUE
184,7,4,coffee_cup / coffee_saucer,Test,T_04.wav,1,nmmm the cup with no saucer,FP,PO,PO,2120,,Contrast_Singleton,Low,TRUE
185,7,5,mirror_wall / mirror_hand,Test,T_05.wav,1,mkay it’s the wall mirror,FL,PR,PR,2539,onset of wall noted,Contrast_Singleton,Low,TRUE
186,7,6,chair_wooden / chair_baby,Test,T_06.wav,1,kitchen chair the brown one,FL,PR,PR,1636,,Contrast_Singleton,Low,TRUE
187,7,7,lighter_flame / lighter_noflame,Test,T_07.wav,1,the lit lighter,FL,PR,PR,1746,,Contrast_Singleton,Low,TRUE
188,7,8,egg_shell / egg_yolk,Test,T_08.wav,1,the uncracked egg,FL,PR,PR,1369,,Contrast_Singleton,Low,TRUE
189,7,9,umbrella_open / umbrella_closed,Test,T_09.wav,1,the open umbrella,FL,PR,PR,2402,,Contrast_Singleton,Low,TRUE
190,7,10,candle_unused / candle_melted,Test,T_10.wav,1,the unlit candle,FL,PR,PR,1818,,Contrast_Singleton,Low,TRUE
191,7,11,knife_kitchen / knife_swiss,Test,T_11.wav,1,umm kitchen knife,FP,PR,PR,1810,,Contrast_Singleton,Low,TRUE
192,7,12,car_family / car_sports,Test,T_12.wav,1,the bicycle {matcher speaks} - run over from last trial I think! - eh the little car!,,,,NA,,Contrast_Singleton,Low,TRUE
193,7,14,gun_real / gun_toy,Test,T_14.wav,0,gun {WO?} um plain grey one,RE,AO,,NA,,Singleton_Contrast,High,TRUE
194,7,15,saddle_horse / saddle_bike,Test,T_15.wav,0,the saddle {WO?} um like for horses or something,RE,AO,,NA,,Singleton_Contrast,High,TRUE
195,7,16,pad_unlocked / pad_locked,Test,T_16.wav,0,a padlock {WO?} um ehh oh its open,RE,AO,,NA,,Singleton_Contrast,High,TRUE
196,7,17,headphones_large / headphones_small,Test,T_17.wav,0,headphones (realises there's 2 and matcher asks {WO?}) - the bigger ones that go over your head,RE,AS,,NA,,Singleton_Contrast,High,TRUE
197,7,18,battery_AA / battery_car,Test,T_18.wav,0,the battery {WO?} small with plus showing on it,RE,AO,,NA,,Singleton_Contrast,High,TRUE
198,7,19,wine_glass / wine_red,Test,T_19.wav,0,glass {WO?} um wine glass with nothing in  it,RE,AO,,NA,,Singleton_Contrast,High,TRUE
199,7,20,money_notes / money_coins,Test,T_20.wav,0,money {WO?} um lots of notes!,RE,AO,,NA,,Singleton_Contrast,High,TRUE
200,7,21,boot_foot / boot_car,Test,T_21.wav,0,boot {WO?} oh the one on your foot,RE,AO,,NA,,Singleton_Contrast,High,TRUE
201,7,22,camera_corder / camera_cctv,Test,T_22.wav,0,"the camera {WO?} uh for taking photos, holding in your hand…(cuts off)",RE,AO,,NA,,Singleton_Contrast,High,TRUE
202,7,23,guitar_acoustic / guitar_electric,Test,T_23.wav,0,the guitar {WO?} oh the acoustic guitar,RE,AO,,NA,,Singleton_Contrast,High,TRUE
203,7,24,glove_wooly / glove_boxing,Test,T_24.wav,0,glove,FL,NO,NO,723,check?,Singleton_Contrast,High,TRUE
204,7,25,teapot_white / teapot_cosy,Test,T_25.wav,0,the... teapot,UP,NO,NO,2590,,Contrast_Singleton,High,FALSE
205,7,27,saw_hand / saw_electric,Test,T_27.wav,1,the hand saw,FL,PR,PR,1576,,Contrast_Singleton,High,TRUE
206,7,28,fan_hand / fan_electric,Test,T_28.wav,1,hand fan,FL,PR,PR,2088,you must check this!,Contrast_Singleton,High,TRUE
207,7,31,key_gold / key_car,Test,T_31.wav,1,and the house key,FL,PR,PR,1773,,Contrast_Singleton,High,TRUE
208,7,32,door_handle / door_knob,Test,T_32.wav,1,flat door handle,FL,PR,PR,1892,,Contrast_Singleton,High,TRUE
209,7,33,bell_hand / bell_bike,Test,T_33.wav,1,and the bell for your hand,FL,PO,PO,2146,,Contrast_Singleton,High,TRUE
210,7,34,cheese_block / cheese_blue,Test,T_34.wav,1,and orange cheese,FL,PR,PR,2981,,Contrast_Singleton,High,TRUE
211,7,37,clock_wall / clock_digital,Test,T_37.wav,0,the clock {WO?} wall clock,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
212,7,38,hat_sun / hat_cowboy,Test,T_38.wav,1,ladies hat (lots of background noise - sounds like having a drink),FL,PR,PR,3266,,Singleton_Contrast,Low,FALSE
213,7,39,pen_ballpoint / pen_nolid,Test,T_39.wav,0,pen {WO?] the one with the lid still on,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
214,7,40,apple_red / apple_green,Test,T_40.wav,1,the red apple,FL,PR,PR,2297,,Singleton_Contrast,Low,FALSE
215,7,41,pipe_smoke / pipe_kitchen,Test,T_41.wav,0,(speech at the start) the pipe {WO?} a smoking pipe,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
216,7,42,bat_animal / bat_baseball,Test,T_42.wav,0,ah the bat {WO?} the flying one,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
217,7,43,horse_animal / horse_rocking,Test,T_43.wav,0,horse {WO?} the real one,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
218,7,44,tshirt_round / tshirt_vneck,Test,T_44.wav,0,the orange tshirt {WO?} the orange one…like a man's tshirt,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
219,7,46,eye_pupil / I_letter,Test,T_46.wav,0,eye {WO?} the one on your face,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
220,7,47,potatoes_skin / potatoes_peeled,Test,T_47.wav,0,potatoes {WO?} right em they haven't been peeled,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
221,8,2,bin_lid / bin_pedal,Test,T_02.wav,1,the bin that you open with your hand,FL,PO,PO,1503,,Contrast_Singleton,Low,TRUE
222,8,4,coffee_cup / coffee_saucer,Test,T_04.wav,0,the cup,FL,NO,NO,2524,,Contrast_Singleton,Low,FALSE
223,8,5,mirror_wall / mirror_hand,Test,T_05.wav,0,the mirror,FL,NO,NO,2398,,Contrast_Singleton,Low,FALSE
224,8,6,chair_wooden / chair_baby,Test,T_06.wav,1,the wooden chair,FL,PR,PR,1422,,Contrast_Singleton,Low,TRUE
225,8,7,lighter_flame / lighter_noflame,Test,T_07.wav,1,the lighter with the flame,FL,PO,PO,1886,,Contrast_Singleton,Low,TRUE
226,8,8,egg_shell / egg_yolk,Test,T_08.wav,0,the egg,FL,NO,NO,2619,difficult as the 'e' from the nd 'e' for egg runs together,Contrast_Singleton,Low,FALSE
227,8,9,umbrella_open / umbrella_closed,Test,T_09.wav,1,the open umbrella,FL,PR,PR,1307,Check!!,Contrast_Singleton,Low,TRUE
228,8,10,candle_unused / candle_melted,Test,T_10.wav,0,the candle,FL,NO,NO,2749,,Contrast_Singleton,Low,FALSE
229,8,11,knife_kitchen / knife_swiss,Test,T_11.wav,0,the knife,FL,NO,NO,2156,,Contrast_Singleton,Low,FALSE
230,8,12,car_family / car_sports,Test,T_12.wav,1,the cheaper car,FL,PR,PR,1534,,Contrast_Singleton,Low,TRUE
231,8,14,gun_real / gun_toy,Test,T_14.wav,1,the real gun,FL,PR,PR,2192,,Singleton_Contrast,High,FALSE
232,8,15,saddle_horse / saddle_bike,Test,T_15.wav,0,the saddle (pause) for horse riding,RE,AS,,NA,CHECK THIS,Singleton_Contrast,High,TRUE
233,8,16,pad_unlocked / pad_locked,Test,T_16.wav,1,the unlocked padlock,FL,PR,PR,1498,,Singleton_Contrast,High,FALSE
234,8,17,headphones_large / headphones_small,Test,T_17.wav,1,the headphones... not the earphones,UP,PO,PO,NA,,Singleton_Contrast,High,FALSE
235,8,18,battery_AA / battery_car,Test,T_18.wav,1,the battery that’s..the little battery,RE,AS,,NA,,Singleton_Contrast,High,FALSE
236,8,20,money_notes / money_coins,Test,T_20.wav,1,the notes.. of money,FL,PR,PR,2023,,Singleton_Contrast,High,FALSE
237,8,21,boot_foot / boot_car,Test,T_21.wav,0,the boot aww the black boot,RE,AS,,NA,,Singleton_Contrast,High,TRUE
238,8,22,camera_corder / camera_cctv,Test,T_22.wav,1,not the surveilance camera the filming camera,FL,PR,OTHER,2869,,Singleton_Contrast,High,FALSE
239,8,23,guitar_acoustic / guitar_electric,Test,T_23.wav,0,the guitar {WO?} oh the wooden guitar,RE,AO,,NA,,Singleton_Contrast,High,TRUE
240,8,24,glove_wooly / glove_boxing,Test,T_24.wav,0,the glove…the non boxing glove,RE,AS,,NA,,Singleton_Contrast,High,TRUE
241,8,25,teapot_white / teapot_cosy,Test,T_25.wav,0,the teapot,FL,NO,,1481,,Contrast_Singleton,High,FALSE
242,8,27,saw_hand / saw_electric,Test,T_27.wav,0,(odd start where she says something else) the saw,RE,DE,,NA,think she starts to say something else then changes to saw,Contrast_Singleton,High,FALSE
243,8,28,fan_hand / fan_electric,Test,T_28.wav,0,the hand..the fan,RE,DE,,NA,,Contrast_Singleton,High,FALSE
244,8,29,orange_skin / orange_slice,Test,T_29.wav,0,the o the orange,RE,DE,,NA,,Contrast_Singleton,High,FALSE
245,8,30,spade_garden / spade_beach,Test,T_30.wav,1,the large spade (goes to say something else but it cuts off),FL,PR,PR,2212,cuts off before she adds to the description,Contrast_Singleton,High,TRUE
246,8,31,key_gold / key_car,Test,T_31.wav,1,the gold..the key,RE,DE,,NA,,Contrast_Singleton,High,TRUE
247,8,32,door_handle / door_knob,Test,T_32.wav,0,the door handle ,FL,NO,NO,1402,,Contrast_Singleton,High,FALSE
248,8,33,bell_hand / bell_bike,Test,T_33.wav,1,the hand bell..or the bell,RE,DE,,NA,,Contrast_Singleton,High,TRUE
249,8,34,cheese_block / cheese_blue,Test,T_34.wav,0,the cheese,FL,NO,NO,1451,,Contrast_Singleton,High,FALSE
250,8,37,clock_wall / clock_digital,Test,T_37.wav,0,the clock…that…the non digital clock,RE,AS,,NA,,Singleton_Contrast,Low,TRUE
251,8,38,hat_sun / hat_cowboy,Test,T_38.wav,1,the…the ladies  hat,UP,PR,PR,2924,,Singleton_Contrast,Low,FALSE
252,8,39,pen_ballpoint / pen_nolid,Test,T_39.wav,1,the pen with the lid on,FL,PO,PO,1729,,Singleton_Contrast,Low,FALSE
