SessionID,Series,Role,Soundfile,Target_Competitor,Modifier,Transcription,Fluency,Adjective,Onset(ms),Comments,X12,X13,X14,X15,X16,X17,X18
1,8,Training,Z_08_07.wav,egg_shell / egg_yolk,1,full egg,FL,PR,1686,check if you have time,,,,,,,
1,9,Training,Z_09_09.wav,umbrella_open / umbrella_closed,1,open umbrella,FL,PR,1317,,,,,,,,
1,10,Training,Z_10_08.wav,candle_unused / candle_melted,1,unused candle,FL,PR,1121,,,,,,,,
1,11,Training,Z_11_09.wav,knife_kitchen / knife_swiss,1,kitchen knife,FL,PR,999,,,,,,,,
1,12,Training,Z_12_08.wav,car_family / car_sports,1,car that's not a sportscar,FL,PO,1137,,,,,,,,
1,13,Training,Z_13_08.wav,lamp_bedroom / lamp_lava,0,lamp,FL,NO,1166,,,,,,,,
1,14,Training,Z_14_09.wav,gun_real / gun_toy,0,gun,FL,NO,1002,,,,,,,,
1,15,Training,Z_15_09.wav,saddle_horse / saddle_bike,0,saddle,FL,NO,937,,,,,,,,
1,16,Training,Z_16_07.wav,pad_unlocked / pad_locked,0,padlock,FL,NO,1035,,,,,,,,
1,17,Training,Z_17_07.wav,headphones_large / headphones_small,0,headphones,FL,NO,1162,difficult,,,,,,,
1,18,Training,Z_18_08.wav,battery_AA / battery_car,0,battery,FL,NO,1160,,,,,,,,
1,19,Training,Z_19_09.wav,wine_glass / wine_red,0,wineglass,FL,NO,1290,,,,,,,,
1,20,Training,Z_20_09.wav,money_notes / money_coins,0,money,FL,NO,947,,,,,,,,
1,21,Training,Z_21_08.wav,boot_foot / boot_car,0,boot,FL,NO,1111,,,,,,,,
1,22,Training,Z_22_07.wav,camera_corder / camera_cctv,0,camera,FL,NO,1446,,,,,,,,
1,23,Training,Z_23_09.wav,guitar_acoustic / guitar_electric,0,guitar ,FL,NO,1035,,,,,,,,
1,24,Training,Z_24_09.wav,glove_wooly / glove_boxing,0,red glove,FL,NO,1293,red is not a modifier,,,,,,,
1,25,Training,Z_25_09.wav,teapot_white / teapot_cosy,1,teapot without the cosy,FL,PO,1111,,,,,,,,
1,26,Training,Z_26_08.wav,helmet_bike / helmet_builders,1,bike helmet,FL,PR,951,,,,,,,,
1,27,Training,Z_27_08.wav,saw_hand / saw_electric,1,non electric saw,FL,PR,1873,,,,,,,,
1,28,Training,Z_28_09.wav,fan_hand / fan_electric,1,handheld fan,FL,PR,999,,,,,,,,
